品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,
雪铁龙(东风),C4L,2012.12-2014 - 1.8L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2012.12-2014 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2012.12-2014 - 1.6T,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,世嘉 CROSS,2012.12-2013.04 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2013.04-2015 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,马勒 ￥35.0,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,C2,2006.10-2014 - 1.4L (T11),马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2006.10-2008.12 - 1.6L (T11),马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,C5,2010.01-2014 - 3.0L,马勒 ￥28.0,三效空调滤清器 ￥79.0,马勒 ￥69.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥42.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥78.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2009.01-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥79.0,马勒 ￥69.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2010.01-2014 - 2.3L,马勒 ￥28.0,三效空调滤清器 ￥79.0,马勒 ￥69.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥42.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥39.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,爱丽舍,2013.9-2015 - 1.6L,马勒 ￥30.0,,马勒 ￥39.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2002.06-2008.04 - 1.6L (7B),马勒 ￥30.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2008.04-2014 - 1.6L (R31),马勒 ￥29.0,,马勒 ￥39.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2007.08-2008.04 - 1.3L (7B),马勒 ￥25.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥42.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,富康,2005.05-2008.12 - 1.6L,马勒 ￥29.0,,马勒 ￥39.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2005.05-2008.12 - 1.6L,马勒 ￥25.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥42.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,1998.09-2008.12 - 1.6L,马勒 ￥25.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥42.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥39.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,曼牌 Mann ￥78.0,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2007.12-2008.12 - 1.4L,马勒 ￥25.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥42.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2002.02-2014 - 1.4L,马勒 ￥25.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥42.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,凯旋,2009.01-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2006.05-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,赛纳,2003.05-2005.12 - 2.0L,马勒 ￥28.0,四效空调滤清器 ￥89.0,马勒 ￥39.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥42.0,,曼牌 Mann ￥139.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥78.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,毕加索,2007.01-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2007.01-2014 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,,汉格斯特 Hengst ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2001.11-2014 - 1.6L,马勒 ￥30.0,三效空调滤清器 ￥49.0,马勒 ￥39.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2004.03-2014 - 2.0L (N68 N7),马勒 ￥28.0,三效空调滤清器 ￥49.0,马勒 ￥39.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥42.0,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥78.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2002.04-2014 - 2.0L (N68 N7),马勒 ￥28.0,三效空调滤清器 ￥49.0,马勒 ￥39.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥42.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥78.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2001.09-2007.03 - 1.6 Chrono,马勒 ￥30.0,三效空调滤清器 ￥49.0,马勒 ￥39.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,世嘉,2013.05-2014 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2008.10-2013.04 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2009.06-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,
雪铁龙(进口),C4,2004.11-2014 - 2.0 16V WT (VTS),汉格斯特 Hengst ￥42.0,三效空调滤清器 ￥49.0,马勒 ￥49.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥78.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥149.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2008.07-2014 - 1.6 16V VTi 120,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2004.11-2014 - 2.0 16V,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2008.07-2014 - 1.6 16V THP 1,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
